type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,48932835,47.37502,8.522895,Migros,supermarket,Zürich,Wengistrasse,7,8004
node,83330862,47.3447487,8.5299814,Migros,supermarket,Zürich,Etzelstrasse,3,8038
node,119249170,47.3752549,8.5361073,Migros,supermarket,Zürich,Löwenstrasse,31-35,8001
node,262400822,47.3640724,8.5309446,Migros,supermarket,Zürich,Tessinerplatz,10,8002
node,267346993,47.3855977,8.5314709,Migros,supermarket,Zürich,Limmatstrasse,152,8005
node,270958272,47.3583667,8.5540739,Migros,supermarket,Zürich,Seefeldstrasse,111-113,8008
node,271028298,47.3656781,8.5480408,Migros,supermarket,Zürich,Falkenstrasse,19-21,8008
node,271029206,47.3645956,8.5538464,Migros,supermarket,Zürich,Kreuzplatz,20,8032
node,273942728,47.3576104,8.5713693,Migros,supermarket,Zürich,Forchstrasse,260,8008
node,310133197,47.4195222,8.548286,Migros,supermarket,Zürich,Schaffhauserstrasse,470,8052
node,312838980,47.3791999,8.5087992,Migros,supermarket,Zürich,Badenerstrasse,376,8004
node,321361643,47.3925525,8.5384284,Migros,supermarket,Zürich,Schaffhauserstrasse,75,8057
node,352860119,47.3701218,8.5200924,Migros,supermarket,Zürich,Birmensdorferstrasse,140,8003
node,451720086,47.3580599,8.5173007,Migros,supermarket,Zürich,Giesshübelstrasse,65,8045
node,452715384,47.4204198,8.5082174,Migros,supermarket,Zürich,Jonas-Furrer-Strasse,21,8046
node,457133149,47.4105711,8.5430953,Migros,supermarket,Zürich,Hofwiesenstrasse,350-354,8050
node,480274029,47.3937084,8.5292465,Migros,supermarket,Zürich,Scheffelstrasse,3,8037
node,639144592,47.4037955,8.573042300000001,Migros,supermarket,Zürich,Winterthurerstrasse,524,8051
node,995471959,47.3793846,8.5594679,Migros,supermarket,Zürich,Toblerstrasse,73,8044
node,1409406549,47.3592095,8.5856168,Migros,supermarket,Zürich,Witikonerstrasse,293,8053
node,1702309790,47.3702412,8.5084445,Migros,supermarket,Zürich,Birmensdorferstrasse,320,8055
node,1835590613,47.4038519,8.4974554,Migros,supermarket,Zürich,Regensdorferstrasse,20,8049
node,2330421254,47.3882833,8.4875671,Migros,supermarket,Zürich,Altstetterstrasse,145,8048
node,3503429368,47.3901062,8.5086792,Migros,supermarket,Zürich,Pfingstweidstrasse,101,8005
node,3721143528,47.3359942,8.5190003,Migros,supermarket,Zürich,Leimbachstrasse,23,8041
node,4424654362,47.3782902,8.5404169,Migros,supermarket,Zürich,,,8001
node,4424939155,47.3770315,8.5394102,Migros,supermarket,Zürich,,,8001
node,4827130190,47.3752033,8.485718,Migros,supermarket,Zürich,Albisriederstrasse,363,8047
node,4827131028,47.3859928,8.5486931,Migros,supermarket,Zürich,Winterthurerstrasse,2-4,8006
node,6551162306,47.3783949,8.5359062,Migros,supermarket,Zürich,,,8001
